127.0.0.1 - - [08/Jul/2016:09:13:20 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Jul/2016:09:13:22 +0800] "GET /anno/ HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [08/Jul/2016:09:13:26 +0800] "GET /anno/index.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [08/Jul/2016:09:13:35 +0800] "GET /anno/index.jsp HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [08/Jul/2016:09:16:11 +0800] "GET /anno/ HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [08/Jul/2016:09:16:11 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Jul/2016:09:16:11 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Jul/2016:09:16:24 +0800] "GET /anno/index.jsp HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [08/Jul/2016:09:16:24 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Jul/2016:09:16:24 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Jul/2016:09:16:46 +0800] "GET /anno/index.jsp HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [08/Jul/2016:09:16:46 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Jul/2016:09:18:15 +0800] "GET /anno/index.jsp HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [08/Jul/2016:09:18:15 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Jul/2016:09:18:15 +0800] "GET /favicon.ico HTTP/1.1" 404 973
